Quantity,Designator,Description,Value,Footprint,Supplier Part Number,Manufacturer Part Number,Supplier,Manufacturer

"7","+VA1, +VB1, 3V3, 5V, GND1, -VA1, -VB1","PC TEST POINT NATURAL","","RCU-0C","A106145CT-ND","1625854-3","Digikey","TE Connectivity"
"6","C1, C2, C3, C4, C5, C6","Cap Ceramic 6.8uF 50V JB 10% SMD 1206 85°C Punched Paper T/R","","CAP-1206","445-11734-1-ND","C3216JB1H685K160AB","Digikey","TDK"
"28","C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39","Capacitor","0.1uF","0603-CAP","311-1343-1-ND","CC0603ZRY5V9BB104","Digikey","Yageo"
"7","C22, C23, C24, C25, C26, C48, C50","Capacitor","","CAP-0805","490-10748-6-ND","GRM21BR61E106MA73L","Digikey","Murata"
"10","C40, C41, C42, C43, C44, C45, C46, C47, C49, C51","Capacitor","","CAP-0603","311-1445-6-ND","CC0603KRX5R8BB105","Digikey","Yageo"
"2","CON1, CON2","AMPHENOL ICC (FCI) - ICD15S13E4GV00LF - D-SUB CONN, RCPT, R/A, 15POS, TH","","ICD15S","609-5180-ND","ICD15S13E4GV00LF","Digikey","Amphenol Communications Solutions"
"1","CON3","","","1935161","277-1667-ND","PT1.5/2-5.0-H","Digikey","Phoenix Contact"
"1","CON4","CONN HEADER SMD 10POS 1.27MM","","20021521-00010D4LF","609-6533-ND","20021521-00010D4LF","Digikey","Amphenol Communications Solutions"
"1","L1","SMD Common Mode Line Filter WE-SL5 HC, L = 9.00 µH","","WE-SL5","732-2215-6-ND","744273801","DigiKey","Wurth Electronics"
"1","LED1","LED BLUE CLEAR 0603 SMD","","0603-LED","160-1647-1-ND","LTST-C191TBKT","Digikey","Vishay Lite-On"
"1","LED2","LED GREEN CLEAR 0603 R/A SMD","GREEN","0603-LED","160-1478-1-ND","LTST-S270KGKT","Digikey","Vishay Lite-On"
"3","LED3, LED6, LED10","","YELLOW","0603-LED","160-1448-6-ND","LTST-C191KSKT","Digikey","Vishay Lite-On"
"5","LED4, LED5, LED7, LED8, LED9","","RED","0603-LED","160-1447-6-ND","LTSTC191KRKT","Digikey","Vishay Lite-On"
"8","P1, P4, P5, P8, P11, P14, P17, P20","","","HDR1x7","732-5320-ND","61300711121","Digikey","Wurth Electronics"
"8","P2, P3, P6, P7, P12, P13, P18, P19","","","HDR1x3 - MALE","732-5316-ND","61300311121","Digikey","Wurth Electronics"
"4","P9, P10, P15, P16","Board-To-Board Connector, Vertical, Wr-Phd Series, Through Hole, Header, 3, 2.54 Mm","","HDR1x3 - MALE","732-5316-ND","61300311121","Digikey","Wurth Electronics"
"6","R1, R2, R3, R4, R19, R20","RES 470 OHM 1% 1/10W 0603","470","RES-0603","RMCF0603FT470RCT-ND","RMCF0603FT470R","Digikey","Stackpole Electronics"
"2","R5, R6","Resistor","0","0603-RES","P0.0GDKR-ND","ERJ-3GEY0R00V","DigiKey","Panasonic"
"6","R7, R8, R9, R10, R17, R35","Resistor","120","0603-RES","311-120HRCT-ND","RC0603FR-07120RL","DigiKey","Yageo"
"2","R11, R30","Res Thick Film 0603 1.2K Ohm 1% 0.1W(1/10W) }100ppm/C Molded SMD Automotive Punched T/R","1.2k","0603-RES","P1.20KHCT-ND","ERJ-3EKF1201V","Digikey","Panasonic"
"9","R12, R24, R34, R36, R37, R45, R50, R51, R54","Resistor","0R","0603-RES","P0.0GDKR-ND","ERJ-3GEY0R00V","DigiKey","Panasonic"
"4","R13, R14, R31, R32","Resistor","2.8k","0603-RES","311-2.80KHRCT-ND","RC0603FR-072K8L","Digikey","Yageo"
"4","R15, R16, R21, R23","RES 3K OHM 1% 1/10W 0603","3k","RES-0603","RMCF0603FT3K00CT-ND","RMCF0603FT3K00","DigiKey","Stackpole Electronics"
"3","R18, R22, R26","RES 10K OHM 1% 1/8W 0603","10k","RES-0603","RNCP0603FTD10K0CT-ND","RNCP0603FTD10K0","DigiKey","Stackpole Electronics"
"4","R25, R27, R28, R29","Res Thick Film 0603 15.4K Ohm 1% 1/10W ±100ppm/C Molded SMD SMD Paper T/R","15.33k","RES-0603","RMCF0603FT15K4CT-ND","RMCF0603FT15K4","Digikey","Stackpole Electronics"
"4","R33, R40, R41, R44","RES 10K OHM 1% 1/8W 0603","10k","RES-0603","RNCP0603FTD10K0CT-ND","RNCP0603FTD10K0","DigiKey","Stackpole Electronics"
"6","R38, R39, R42, R43, R47, R48","Resistor","0","RES-1206","311-0.0ERCT-ND","RC1206JR-070RL","Digikey","Yageo"
"4","R46, R49, R52, R53","Resistor","0R","0603-RES","P0.0GDKR-ND","ERJ-3GEY0R00V","DigiKey","Panasonic"
"1","T1","XFRMR MAGNETIC 1PORT 1:1 10/100","","HX1188NLT","553-1536-1-ND","HX1188NLT","Digikey","Pulse"
"29","TG1, TG2, TG3, TG4, TG5, TG6, TG7, TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22","Test Point, Yellow, 1-Pin THD, RoHS, Bulk","","RCU-0C","62W5138","5004","Newark","Keystone Electronics"
"4","U1, U2, U3, U4","Recom RS6","","RS6 DCDC","945-2987-ND","RS6-2415S","Digikey","Recom"
"1","U5","Recom RS6","","RS6 DCDC","945-2985-ND","RS6-2405S","Digikey","Recom"
"4","U6, U7, U8, U9","TVS DIODE 5.5V 10V 6TSOP","","TSOP95P280X110-6N","NUP4114HMR6T1GOSCT-ND","NUP4114HMR6T1G","Digikey","ON Semiconductor"
"2","U10, U11","DG ISO 2.5KV RS422/RS485 16SOIC","","SOIC127P1030X265-16N","296-43594-1-ND","ISO3086TDWR","Digikey","Texas Instruments"
"1","U12","IC MCU 32BIT 1MB FLASH 144LQFP","","STM-LQFP144_M","497-16632-ND","STM32F765ZGT6","Digikey","STMicroelectronics"
"2","U13, U16","IC INTERFACE SPECIALIZED 16MSOP","","TSSOP50P490X110-16N","LTC6820IMS#TRPBFCT-ND","LTC6820IMS#TRPBF","Digikey","Analog Devices / Linear Technology"
"1","U14","IC EEPROM 64K I2C 400KHZ 8SOIC","","SOIC127P600X175-8N","24LC64T-I/SNCT-ND","24LC64T-I/SN","Digikey","Microchip"
"1","U15","MEMS OSC XO 8.0000MHZ CMOS SMD","","SOT65P210X110-3N","MAX7375AXR805+TCT-ND","MAX7375AXR805-T","Digikey","Maxim"
"2","U17, U20","IC REG LINEAR 15V 500MA DPAK","","DPAK229P991X238-3N","MC78M15CDTRKGOSCT-ND","MC78M15CDTRKG","Digikey","ON Semiconductor"
"2","U18, U19","IC REG LINEAR -15V 500MA DPAK","","DPAK229P991X238-3N","MC79M15CDTRKGOSCT-ND","MC79M15CDTRKG","Digikey","ON Semiconductor"
"1","U21","IC REG LINEAR 5V 1A 5DDPAK","","5-DDPAK","MCP1826T-5002E/ETCT-ND","","Digi-Key",""
"1","U22","IC REG LINEAR 3.3V 1A 5DDPAK","","5-DDPAK","MCP1826T-3302E/ETCT-ND","MCP1826T-3302E/ET","Digikey","Microchip"
